Position, Name, Team, Game, Avg FPPG, Salary
"RB","Roosevelt Nix","Steelers","CLE @ PIT","0.48","$6,000.00"
"RB","Le'Veon Bell","Steelers","CLE @ PIT","0.0","$15,300.00"
"WR","Darrius Heyward-Bey","Steelers","CLE @ PIT","0.0","$6,000.00"
"WR","JuJu Smith-Schuster","Steelers","CLE @ PIT","20.68","$14,000.00"
"WR","Ryan Switzer","Steelers","CLE @ PIT","4.51","$6,000.00"
"TE","Jesse James","Steelers","CLE @ PIT","8.9","$5,600.00"
"TE","Xavier Grimble","Steelers","CLE @ PIT","1.23","$5,000.00"
"TE","Vance McDonald","Steelers","CLE @ PIT","11.08","$7,300.00"
"RB","James Conner","Steelers","CLE @ PIT","25.16","$14,100.00"
"QB","Ben Roethlisberger","Steelers","CLE @ PIT","25.0","$11,400.00"
"WR","Justin Hunter","Steelers","CLE @ PIT","0.53","$6,000.00"
"QB","Joshua Dobbs","Steelers","CLE @ PIT","-0.3","$10,000.00"
"RB","Stevan Ridley","Steelers","CLE @ PIT","0.9","$7,800.00"
"WR","Antonio Brown","Steelers","CLE @ PIT","21.63","$16,100.00"
"QB","Mason Rudolph","Steelers","CLE @ PIT","0.0","$10,000.00"
"WR","Eli Rogers","Steelers","CLE @ PIT","0.0","$6,000.00"
"WR","James Washington","Steelers","CLE @ PIT","2.65","$6,700.00"
"RB","Jaylen Samuels","Steelers","CLE @ PIT","0.0","$6,000.00"
"DST","Pittsburgh Steelers","Steelers","CLE @ PIT","8.83","$4,500.00"
"WR","Rashard Higgins","Browns","CLE @ PIT","9.28","$7,400.00"
"WR","Antonio Callaway","Browns","CLE @ PIT","6.38","$7,400.00"
"WR","Damion Ratley","Browns","CLE @ PIT","4.87","$7,000.00"
"WR","Da'Mari Scott","Browns","CLE @ PIT","0.0","$6,000.00"
"WR","Breshad Perriman","Browns","CLE @ PIT","1.6","$6,000.00"
"WR","Jarvis Landry","Browns","CLE @ PIT","15.7","$13,700.00"
"TE","David Njoku","Browns","CLE @ PIT","10.38","$8,600.00"
"TE","Seth DeValve","Browns","CLE @ PIT","0.9","$5,000.00"
"TE","Orson Charles","Browns","CLE @ PIT","0.25","$5,000.00"
"RB","Nick Chubb","Browns","CLE @ PIT","6.61","$9,800.00"
"RB","Dontrell Hilliard","Browns","CLE @ PIT","0.0","$6,000.00"
"RB","Duke Johnson Jr.","Browns","CLE @ PIT","7.34","$7,700.00"
"QB","Baker Mayfield","Browns","CLE @ PIT","16.76","$11,300.00"
"QB","Tyrod Taylor","Browns","CLE @ PIT","14.32","$10,000.00"
"DST","Cleveland Browns","Browns","CLE @ PIT","8.57","$4,200.00"
"QB","Drew Stanton","Browns","CLE @ PIT","0.0","$10,000.00"
"TE","Darren Fells","Browns","CLE @ PIT","2.77","$5,000.00"
"WR","Cody Latimer","Giants","WAS @ NYG","4.2","$6,000.00"
"WR","Russell Shepard","Giants","WAS @ NYG","2.02","$6,000.00"
"WR","Odell Beckham Jr.","Giants","WAS @ NYG","19.46","$13,800.00"
"TE","Evan Engram","Giants","WAS @ NYG","8.8","$7,400.00"
"RB","Wayne Gallman Jr.","Giants","WAS @ NYG","3.01","$7,000.00"
"RB","Saquon Barkley","Giants","WAS @ NYG","27.18","$16,000.00"
"QB","Eli Manning","Giants","WAS @ NYG","15.44","$10,000.00"
"DST","New York Giants","Giants","WAS @ NYG","2.66","$4,200.00"
"RB","Jonathan Stewart","Giants","WAS @ NYG","0.56","$6,400.00"
"RB","Elijhaa Penny","Giants","WAS @ NYG","0.0","$6,000.00"
"TE","Rhett Ellison","Giants","WAS @ NYG","5.92","$5,000.00"
"WR","Jawill Davis","Giants","WAS @ NYG","1.56","$6,000.00"
"WR","Sterling Shepard","Giants","WAS @ NYG","13.18","$10,600.00"
"QB","Alex Tanney","Giants","WAS @ NYG","0.0","$10,000.00"
"QB","Kyle Lauletta","Giants","WAS @ NYG","0.0","$10,000.00"
"WR","Quadree Henderson","Giants","WAS @ NYG","0.0","$6,000.00"
"TE","Scott Simonson","Giants","WAS @ NYG","0.85","$5,000.00"
"WR","Bennie Fowler","Giants","WAS @ NYG","0.0","$6,400.00"
"WR","Jamison Crowder","Redskins","WAS @ NYG","8.97","$8,700.00"
"WR","Paul Richardson Jr.","Redskins","WAS @ NYG","9.88","$7,800.00"
"RB","Chris Thompson","Redskins","WAS @ NYG","15.5","$10,400.00"
"TE","Vernon Davis","Redskins","WAS @ NYG","4.98","$5,600.00"
"RB","Adrian Peterson","Redskins","WAS @ NYG","14.36","$9,700.00"
"QB","Alex Smith","Redskins","WAS @ NYG","15.78","$10,000.00"
"RB","Rob Kelley","Redskins","WAS @ NYG","0.4","$6,000.00"
"WR","Michael Floyd","Redskins","WAS @ NYG","1.0","$6,600.00"
"WR","Josh Doctson","Redskins","WAS @ NYG","4.4","$7,300.00"
"RB","Kapri Bibbs","Redskins","WAS @ NYG","6.37","$7,100.00"
"WR","Brian Quick","Redskins","WAS @ NYG","0.96","$6,000.00"
"TE","Jeremy Sprinkle","Redskins","WAS @ NYG","0.0","$5,000.00"
"TE","Jordan Reed","Redskins","WAS @ NYG","8.96","$8,400.00"
"RB","Samaje Perine","Redskins","WAS @ NYG","0.6","$6,000.00"
"QB","Colt McCoy","Redskins","WAS @ NYG","0.0","$10,000.00"
"WR","Jehu Chesson","Redskins","WAS @ NYG","0.0","$6,000.00"
"DST","Washington Redskins","Redskins","WAS @ NYG","8.0","$5,300.00"
"WR","Maurice Harris","Redskins","WAS @ NYG","4.45","$6,400.00"
"RB","Byron Marshall","Redskins","WAS @ NYG","0.0","$6,000.00"
"WR","Marcus Kemp","Chiefs","DEN @ KC","0.24","$6,000.00"
"WR","Sammy Watkins","Chiefs","DEN @ KC","10.65","$9,100.00"
"WR","Chris Conley","Chiefs","DEN @ KC","4.91","$6,300.00"
"RB","Kareem Hunt","Chiefs","DEN @ KC","21.68","$15,200.00"
"RB","Damien Williams","Chiefs","DEN @ KC","0.7","$6,000.00"
"RB","Anthony Sherman","Chiefs","DEN @ KC","2.35","$6,000.00"
"QB","Patrick Mahomes","Chiefs","DEN @ KC","30.56","$13,900.00"
"TE","Travis Kelce","Chiefs","DEN @ KC","17.32","$12,700.00"
"TE","Demetrius Harris","Chiefs","DEN @ KC","4.4","$5,000.00"
"TE","James Winchester","Chiefs","DEN @ KC","0.0","$5,000.00"
"WR","Demarcus Robinson","Chiefs","DEN @ KC","2.24","$6,000.00"
"RB","Darrel Williams","Chiefs","DEN @ KC","0.0","$6,000.00"
"WR","Tyreek Hill","Chiefs","DEN @ KC","23.28","$16,000.00"
"QB","Chad Henne","Chiefs","DEN @ KC","0.0","$10,000.00"
"DST","Kansas City Chiefs","Chiefs","DEN @ KC","7.57","$5,000.00"
"RB","Spencer Ware","Chiefs","DEN @ KC","4.07","$7,400.00"
"RB","Royce Freeman","Broncos","DEN @ KC","8.71","$7,400.00"
"WR","DaeSean Hamilton","Broncos","DEN @ KC","1.05","$6,000.00"
"WR","Emmanuel Sanders","Broncos","DEN @ KC","21.38","$12,400.00"
"WR","Tim Patrick","Broncos","DEN @ KC","0.74","$6,000.00"
"TE","Matt LaCosse","Broncos","DEN @ KC","1.5","$5,000.00"
"TE","Jeff Heuerman","Broncos","DEN @ KC","3.85","$5,000.00"
"RB","Devontae Booker","Broncos","DEN @ KC","4.81","$7,300.00"
"QB","Chad Kelly","Broncos","DEN @ KC","-0.1","$10,000.00"
"QB","Kevin Hogan","Broncos","DEN @ KC","0.0","$10,000.00"
"QB","Case Keenum","Broncos","DEN @ KC","16.36","$10,100.00"
"WR","Demaryius Thomas","Broncos","DEN @ KC","13.02","$10,400.00"
"WR","Courtland Sutton","Broncos","DEN @ KC","7.22","$7,400.00"
"TE","Brian Parker","Broncos","DEN @ KC","0.0","$5,000.00"
"RB","Andy Janovich","Broncos","DEN @ KC","0.92","$6,000.00"
"DST","Denver Broncos","Broncos","DEN @ KC","9.14","$3,900.00"
"WR","Jordan Taylor","Broncos","DEN @ KC","0.0","$6,000.00"
"RB","Phillip Lindsay","Broncos","DEN @ KC","13.07","$10,600.00"
"RB","Theo Riddick","Lions","SEA @ DET","7.96","$7,400.00"
"RB","Ameer Abdullah","Lions","SEA @ DET","1.15","$6,000.00"
"WR","Brandon Powell","Lions","SEA @ DET","0.0","$6,000.00"
"WR","Kenny Golladay","Lions","SEA @ DET","16.08","$10,400.00"
"WR","TJ Jones","Lions","SEA @ DET","1.1","$6,000.00"
"TE","Michael Roberts","Lions","SEA @ DET","9.43","$5,000.00"
"TE","Luke Willson","Lions","SEA @ DET","1.61","$5,000.00"
"RB","LeGarrette Blount","Lions","SEA @ DET","6.51","$6,900.00"
"RB","Nick Bellore","Lions","SEA @ DET","0.08","$6,000.00"
"QB","Matt Cassel","Lions","SEA @ DET","-0.54","$10,000.00"
"WR","Marvin Jones Jr.","Lions","SEA @ DET","10.66","$9,000.00"
"QB","Matthew Stafford","Lions","SEA @ DET","19.29","$11,100.00"
"RB","Kerryon Johnson","Lions","SEA @ DET","13.38","$9,500.00"
"WR","Golden Tate","Lions","SEA @ DET","18.6","$11,300.00"
"DST","Detroit Lions","Lions","SEA @ DET","6.33","$4,600.00"
"TE","Levine Toilolo","Lions","SEA @ DET","0.81","$5,000.00"
