Position, Name, Team, Game, Avg FPPG, Salary
"WR","Jordan Lasley","Ravens","PIT @ BAL","0.0","$6,000.00"
"WR","Quincy Adeboyejo","Ravens","PIT @ BAL","0.0","$6,000.00"
"WR","Chris Moore","Ravens","PIT @ BAL","2.77","$6,000.00"
"WR","Willie Snead IV","Ravens","PIT @ BAL","10.53","$8,300.00"
"WR","Michael Crabtree","Ravens","PIT @ BAL","11.75","$9,500.00"
"TE","Mark Andrews","Ravens","PIT @ BAL","6.17","$5,000.00"
"TE","Maxx Williams","Ravens","PIT @ BAL","3.92","$5,000.00"
"TE","Nick Boyle","Ravens","PIT @ BAL","3.45","$5,000.00"
"RB","Alex Collins","Ravens","PIT @ BAL","11.61","$9,100.00"
"RB","Gus Edwards","Ravens","PIT @ BAL","2.36","$6,000.00"
"RB","Kenneth Dixon","Ravens","PIT @ BAL","10.4","$6,000.00"
"RB","Patrick Ricard","Ravens","PIT @ BAL","0.0","$6,000.00"
"RB","Javorius Allen","Ravens","PIT @ BAL","10.97","$7,400.00"
"QB","Lamar Jackson","Ravens","PIT @ BAL","3.23","$10,000.00"
"QB","Robert Griffin III","Ravens","PIT @ BAL","0.0","$10,000.00"
"QB","Joe Flacco","Ravens","PIT @ BAL","17.73","$10,500.00"
"DST","Baltimore Ravens","Ravens","PIT @ BAL","9.0","$4,900.00"
"TE","Darren Waller","Ravens","PIT @ BAL","0.0","$5,000.00"
"WR","Jaleel Scott","Ravens","PIT @ BAL","0.0","$6,000.00"
"TE","Hayden Hurst","Ravens","PIT @ BAL","3.15","$5,000.00"
"WR","John Brown","Ravens","PIT @ BAL","15.0","$10,900.00"
"WR","JuJu Smith-Schuster","Steelers","PIT @ BAL","18.77","$13,000.00"
"WR","James Washington","Steelers","PIT @ BAL","2.65","$6,400.00"
"WR","Ryan Switzer","Steelers","PIT @ BAL","3.87","$6,000.00"
"WR","Justin Hunter","Steelers","PIT @ BAL","1.27","$6,000.00"
"WR","Antonio Brown","Steelers","PIT @ BAL","22.17","$15,400.00"
"WR","Darrius Heyward-Bey","Steelers","PIT @ BAL","0.0","$6,000.00"
"TE","Jesse James","Steelers","PIT @ BAL","8.04","$5,300.00"
"TE","Xavier Grimble","Steelers","PIT @ BAL","1.05","$5,000.00"
"TE","Vance McDonald","Steelers","PIT @ BAL","10.51","$7,400.00"
"RB","Jaylen Samuels","Steelers","PIT @ BAL","0.34","$6,000.00"
"RB","James Conner","Steelers","PIT @ BAL","27.45","$13,600.00"
"RB","Roosevelt Nix","Steelers","PIT @ BAL","0.41","$6,000.00"
"QB","Joshua Dobbs","Steelers","PIT @ BAL","-0.2","$10,000.00"
"QB","Ben Roethlisberger","Steelers","PIT @ BAL","23.98","$11,200.00"
"WR","Eli Rogers","Steelers","PIT @ BAL","0.0","$6,000.00"
"QB","Mason Rudolph","Steelers","PIT @ BAL","0.0","$10,000.00"
"RB","Le'Veon Bell","Steelers","PIT @ BAL","0.0","$16,500.00"
"DST","Pittsburgh Steelers","Steelers","PIT @ BAL","8.83","$4,500.00"
"RB","Stevan Ridley","Steelers","PIT @ BAL","1.13","$7,400.00"
"WR","Leonte Carroo","Dolphins","NYJ @ MIA","0.0","$6,000.00"
"WR","Jakeem Grant","Dolphins","NYJ @ MIA","8.71","$7,300.00"
"WR","DeVante Parker","Dolphins","NYJ @ MIA","9.46","$9,100.00"
"WR","Kenny Stills","Dolphins","NYJ @ MIA","10.44","$8,500.00"
"WR","Danny Amendola","Dolphins","NYJ @ MIA","9.97","$9,200.00"
"TE","Mike Gesicki","Dolphins","NYJ @ MIA","3.82","$5,000.00"
"TE","Durham Smythe","Dolphins","NYJ @ MIA","0.0","$5,000.00"
"RB","Kalen Ballage","Dolphins","NYJ @ MIA","0.25","$6,300.00"
"RB","Kenyan Drake","Dolphins","NYJ @ MIA","13.71","$10,000.00"
"QB","David Fales","Dolphins","NYJ @ MIA","0.0","$10,000.00"
"QB","Brock Osweiler","Dolphins","NYJ @ MIA","15.87","$10,500.00"
"QB","Ryan Tannehill","Dolphins","NYJ @ MIA","14.39","$10,200.00"
"DST","Miami Dolphins","Dolphins","NYJ @ MIA","6.25","$5,600.00"
"TE","Nick O'Leary","Dolphins","NYJ @ MIA","4.8","$5,000.00"
"TE","A.J. Derby","Dolphins","NYJ @ MIA","3.83","$5,000.00"
"RB","Brandon Bolden","Dolphins","NYJ @ MIA","0.0","$6,000.00"
"RB","Senorise Perry","Dolphins","NYJ @ MIA","0.0","$6,000.00"
"RB","Frank Gore","Dolphins","NYJ @ MIA","7.46","$6,900.00"
"WR","Deontay Burnett","Jets","NYJ @ MIA","6.0","$6,400.00"
"WR","ArDarius Stewart","Jets","NYJ @ MIA","0.0","$6,000.00"
"WR","Robby Anderson","Jets","NYJ @ MIA","9.5","$8,500.00"
"WR","Charone Peake","Jets","NYJ @ MIA","0.48","$6,000.00"
"WR","Rishard Matthews","Jets","NYJ @ MIA","1.02","$6,900.00"
"WR","Quincy Enunwa","Jets","NYJ @ MIA","9.28","$7,800.00"
"TE","Chris Herndon","Jets","NYJ @ MIA","5.76","$5,900.00"
"TE","Neal Sterling","Jets","NYJ @ MIA","2.14","$5,000.00"
"RB","Trenton Cannon","Jets","NYJ @ MIA","2.45","$7,000.00"
"RB","Isaiah Crowell","Jets","NYJ @ MIA","12.82","$9,500.00"
"RB","De'Angelo Henderson","Jets","NYJ @ MIA","0.0","$6,000.00"
"QB","Sam Darnold","Jets","NYJ @ MIA","14.53","$10,000.00"
"QB","Josh McCown","Jets","NYJ @ MIA","0.0","$10,000.00"
"WR","Jermaine Kearse","Jets","NYJ @ MIA","5.5","$8,400.00"
"DST","New York Jets","Jets","NYJ @ MIA","9.0","$4,900.00"
"RB","Elijah McGuire","Jets","NYJ @ MIA","0.0","$6,000.00"
"WR","Andre Roberts","Jets","NYJ @ MIA","1.46","$6,400.00"
"TE","Jordan Leggett","Jets","NYJ @ MIA","1.75","$5,000.00"
"TE","Eric Tomlinson","Jets","NYJ @ MIA","1.43","$5,000.00"
"WR","Antonio Callaway","Browns","KC @ CLE","7.41","$8,400.00"
"WR","Rashard Higgins","Browns","KC @ CLE","9.28","$7,300.00"
"WR","Breshad Perriman","Browns","KC @ CLE","0.8","$6,000.00"
"WR","Jarvis Landry","Browns","KC @ CLE","15.22","$12,300.00"
"TE","David Njoku","Browns","KC @ CLE","9.08","$8,600.00"
"TE","Pharaoh Brown","Browns","KC @ CLE","0.0","$5,000.00"
"TE","Seth DeValve","Browns","KC @ CLE","2.88","$5,000.00"
"TE","Orson Charles","Browns","KC @ CLE","0.22","$5,000.00"
"TE","Darren Fells","Browns","KC @ CLE","2.62","$5,000.00"
"RB","Nick Chubb","Browns","KC @ CLE","6.97","$8,800.00"
"RB","Dontrell Hilliard","Browns","KC @ CLE","1.13","$6,000.00"
"RB","Duke Johnson Jr.","Browns","KC @ CLE","6.87","$7,400.00"
"QB","Baker Mayfield","Browns","KC @ CLE","16.49","$10,500.00"
"QB","Tyrod Taylor","Browns","KC @ CLE","14.32","$10,000.00"
"QB","Drew Stanton","Browns","KC @ CLE","0.0","$10,000.00"
"DST","Cleveland Browns","Browns","KC @ CLE","8.57","$3,800.00"
"WR","Da'Mari Scott","Browns","KC @ CLE","0.0","$6,000.00"
"WR","Damion Ratley","Browns","KC @ CLE","4.52","$6,900.00"
"WR","Tyreek Hill","Chiefs","KC @ CLE","21.62","$15,000.00"
"WR","Demarcus Robinson","Chiefs","KC @ CLE","2.1","$6,000.00"
"WR","Sammy Watkins","Chiefs","KC @ CLE","13.53","$11,500.00"
"TE","Deon Yelder","Chiefs","KC @ CLE","0.0","$5,000.00"
"TE","James Winchester","Chiefs","KC @ CLE","0.0","$5,000.00"
"TE","Travis Kelce","Chiefs","KC @ CLE","17.65","$12,300.00"
"RB","Kareem Hunt","Chiefs","KC @ CLE","21.42","$14,600.00"
"RB","Damien Williams","Chiefs","KC @ CLE","0.61","$6,000.00"
"QB","Patrick Mahomes","Chiefs","KC @ CLE","30.49","$14,100.00"
"RB","Darrel Williams","Chiefs","KC @ CLE","0.0","$6,000.00"
"RB","Anthony Sherman","Chiefs","KC @ CLE","2.31","$6,000.00"
"WR","Chris Conley","Chiefs","KC @ CLE","4.3","$6,300.00"
