Position, Name, Team, Game, Avg FPPG, Salary
"WR","Taylor Gabriel","Bears","DET @ CHI","12.65","$9,800.00"
"WR","Allen Robinson II","Bears","DET @ CHI","10.91","$9,900.00"
"TE","Adam Shaheen","Bears","DET @ CHI","0.0","$5,000.00"
"TE","Ben Braunecker","Bears","DET @ CHI","0.0","$5,000.00"
"TE","Dion Sims","Bears","DET @ CHI","0.36","$5,000.00"
"TE","Patrick Scales","Bears","DET @ CHI","0.0","$5,000.00"
"RB","Tarik Cohen","Bears","DET @ CHI","15.06","$10,300.00"
"WR","Javon Wims","Bears","DET @ CHI","0.0","$6,000.00"
"WR","Kevin White","Bears","DET @ CHI","1.42","$6,000.00"
"QB","Mitchell Trubisky","Bears","DET @ CHI","23.02","$11,100.00"
"WR","Anthony Miller","Bears","DET @ CHI","8.51","$7,400.00"
"RB","Jordan Howard","Bears","DET @ CHI","11.57","$9,200.00"
"QB","Chase Daniel","Bears","DET @ CHI","-0.16","$10,000.00"
"RB","Benny Cunningham","Bears","DET @ CHI","0.33","$6,300.00"
"TE","Trey Burton","Bears","DET @ CHI","12.41","$7,400.00"
"RB","Michael Burton","Bears","DET @ CHI","0.4","$6,000.00"
"TE","Daniel Brown","Bears","DET @ CHI","0.0","$5,000.00"
"WR","Josh Bellamy","Bears","DET @ CHI","2.43","$6,000.00"
"RB","Taquan Mizzell","Bears","DET @ CHI","1.5","$6,000.00"
"DST","Chicago Bears","Bears","DET @ CHI","12.37","$6,700.00"
"WR","Andy Jones","Lions","DET @ CHI","0.0","$6,000.00"
"WR","Marvin Jones Jr.","Lions","DET @ CHI","13.78","$10,400.00"
"RB","Kerryon Johnson","Lions","DET @ CHI","12.85","$9,200.00"
"RB","Ameer Abdullah","Lions","DET @ CHI","0.96","$6,000.00"
"RB","Theo Riddick","Lions","DET @ CHI","8.4","$7,400.00"
"QB","Matthew Stafford","Lions","DET @ CHI","18.16","$10,500.00"
"QB","Matt Cassel","Lions","DET @ CHI","-0.54","$10,000.00"
"WR","TJ Jones","Lions","DET @ CHI","1.41","$6,600.00"
"WR","Brandon Powell","Lions","DET @ CHI","0.0","$6,000.00"
"TE","Luke Willson","Lions","DET @ CHI","2.31","$5,000.00"
"TE","Levine Toilolo","Lions","DET @ CHI","0.88","$5,000.00"
"TE","Michael Roberts","Lions","DET @ CHI","6.1","$5,000.00"
"WR","Kenny Golladay","Lions","DET @ CHI","13.38","$10,100.00"
"RB","LeGarrette Blount","Lions","DET @ CHI","5.58","$6,000.00"
"RB","Nick Bellore","Lions","DET @ CHI","0.06","$6,000.00"
"DST","Detroit Lions","Lions","DET @ CHI","5.62","$5,000.00"
"WR","Tyreek Hill","Chiefs","ARI @ KC","20.61","$14,100.00"
"WR","Sammy Watkins","Chiefs","ARI @ KC","13.3","$11,200.00"
"TE","Deon Yelder","Chiefs","ARI @ KC","0.0","$5,000.00"
"TE","Demetrius Harris","Chiefs","ARI @ KC","3.3","$5,000.00"
"TE","James Winchester","Chiefs","ARI @ KC","0.0","$5,000.00"
"TE","Travis Kelce","Chiefs","ARI @ KC","18.9","$13,200.00"
"RB","Darrel Williams","Chiefs","ARI @ KC","0.0","$6,000.00"
"RB","Kareem Hunt","Chiefs","ARI @ KC","22.72","$16,100.00"
"RB","Damien Williams","Chiefs","ARI @ KC","0.54","$6,000.00"
"RB","Anthony Sherman","Chiefs","ARI @ KC","2.05","$6,000.00"
"QB","Patrick Mahomes","Chiefs","ARI @ KC","30.52","$14,100.00"
"WR","Chris Conley","Chiefs","ARI @ KC","4.18","$6,300.00"
"RB","Spencer Ware","Chiefs","ARI @ KC","4.51","$7,800.00"
"WR","Demarcus Robinson","Chiefs","ARI @ KC","2.01","$6,000.00"
"WR","Marcus Kemp","Chiefs","ARI @ KC","0.18","$6,000.00"
"QB","Chad Henne","Chiefs","ARI @ KC","0.0","$10,000.00"
"DST","Kansas City Chiefs","Chiefs","ARI @ KC","7.55","$6,800.00"
"WR","Christian Kirk","Cardinals","ARI @ KC","10.65","$10,200.00"
"WR","Trent Sherfield","Cardinals","ARI @ KC","0.0","$6,000.00"
"WR","Chad Williams","Cardinals","ARI @ KC","3.53","$6,000.00"
"WR","Larry Fitzgerald","Cardinals","ARI @ KC","10.83","$10,600.00"
"TE","Jermaine Gresham","Cardinals","ARI @ KC","1.96","$5,000.00"
"RB","Chase Edmonds","Cardinals","ARI @ KC","3.17","$8,100.00"
"RB","T.J. Logan","Cardinals","ARI @ KC","0.0","$6,000.00"
"RB","David Johnson","Cardinals","ARI @ KC","14.76","$12,700.00"
"RB","Derrick Coleman","Cardinals","ARI @ KC","0.5","$6,000.00"
"QB","Mike Glennon","Cardinals","ARI @ KC","0.0","$10,000.00"
"TE","Ricky Seals-Jones","Cardinals","ARI @ KC","5.82","$5,900.00"
"QB","Josh Rosen","Cardinals","ARI @ KC","10.28","$10,000.00"
"WR","J.J. Nelson","Cardinals","ARI @ KC","0.95","$6,000.00"
"TE","John Phillips","Cardinals","ARI @ KC","0.0","$5,000.00"
"DST","Arizona Cardinals","Cardinals","ARI @ KC","8.12","$3,900.00"
"WR","Chester Rogers","Colts","JAX @ IND","8.93","$7,300.00"
"WR","Matt Hazel","Colts","JAX @ IND","0.0","$6,000.00"
"WR","Ryan Grant","Colts","JAX @ IND","9.83","$7,000.00"
"WR","Dontrelle Inman","Colts","JAX @ IND","5.6","$6,000.00"
"TE","Mo Alie-Cox","Colts","JAX @ IND","4.6","$5,000.00"
"TE","Ryan Hewitt","Colts","JAX @ IND","0.0","$5,000.00"
"RB","Marlon Mack","Colts","JAX @ IND","20.42","$10,900.00"
"RB","Jordan Wilkins","Colts","JAX @ IND","4.58","$6,700.00"
"RB","Robert Turbin","Colts","JAX @ IND","0.65","$6,300.00"
"QB","Jacoby Brissett","Colts","JAX @ IND","-0.2","$10,000.00"
"QB","Andrew Luck","Colts","JAX @ IND","24.09","$10,800.00"
"TE","Erik Swoope","Colts","JAX @ IND","6.66","$5,000.00"
"WR","Zach Pascal","Colts","JAX @ IND","4.22","$6,400.00"
"RB","Nyheim Hines","Colts","JAX @ IND","11.81","$7,300.00"
"WR","T.Y. Hilton","Colts","JAX @ IND","14.71","$10,700.00"
"TE","Eric Ebron","Colts","JAX @ IND","15.03","$7,000.00"
"TE","Jack Doyle","Colts","JAX @ IND","11.66","$8,100.00"
"WR","Steve Ishmael","Colts","JAX @ IND","0.0","$6,000.00"
"DST","Indianapolis Colts","Colts","JAX @ IND","6.75","$5,600.00"
"WR","Donte Moncrief","Jaguars","JAX @ IND","10.11","$9,200.00"
"WR","Rashad Greene Sr.","Jaguars","JAX @ IND","1.85","$6,000.00"
"TE","Austin Seferian-Jenkins","Jaguars","JAX @ IND","5.2","$5,000.00"
"TE","Niles Paul","Jaguars","JAX @ IND","3.25","$5,000.00"
"RB","Leonard Fournette","Jaguars","JAX @ IND","6.5","$12,400.00"
"RB","David Williams","Jaguars","JAX @ IND","0.1","$6,000.00"
"RB","Corey Grant","Jaguars","JAX @ IND","3.94","$6,000.00"
"RB","Tommy Bohanon","Jaguars","JAX @ IND","0.37","$6,000.00"
"QB","Blake Bortles","Jaguars","JAX @ IND","18.86","$10,000.00"
"QB","Landry Jones","Jaguars","JAX @ IND","0.0","$10,000.00"
"TE","James O'Shaughnessy","Jaguars","JAX @ IND","3.18","$5,000.00"
