Position, Name, Team, Game, Avg FPPG, Salary
"WR","James Washington","Steelers","PIT @ JAX","2.45","$6,400.00"
"WR","Antonio Brown","Steelers","PIT @ JAX","21.33","$14,600.00"
"RB","James Conner","Steelers","PIT @ JAX","26.53","$14,100.00"
"RB","Roosevelt Nix","Steelers","PIT @ JAX","0.73","$6,000.00"
"QB","Joshua Dobbs","Steelers","PIT @ JAX","0.09","$10,000.00"
"WR","JuJu Smith-Schuster","Steelers","PIT @ JAX","18.38","$12,700.00"
"TE","Jesse James","Steelers","PIT @ JAX","7.93","$5,300.00"
"RB","Le'Veon Bell","Steelers","PIT @ JAX","0.0","$13,200.00"
"RB","Jaylen Samuels","Steelers","PIT @ JAX","1.97","$7,000.00"
"TE","Xavier Grimble","Steelers","PIT @ JAX","0.82","$5,000.00"
"WR","Eli Rogers","Steelers","PIT @ JAX","0.0","$6,000.00"
"QB","Mason Rudolph","Steelers","PIT @ JAX","0.0","$10,000.00"
"RB","Stevan Ridley","Steelers","PIT @ JAX","1.34","$7,100.00"
"WR","Justin Hunter","Steelers","PIT @ JAX","1.27","$6,000.00"
"TE","Vance McDonald","Steelers","PIT @ JAX","10.37","$7,200.00"
"QB","Ben Roethlisberger","Steelers","PIT @ JAX","25.76","$12,000.00"
"WR","Ryan Switzer","Steelers","PIT @ JAX","4.14","$6,300.00"
"WR","Darrius Heyward-Bey","Steelers","PIT @ JAX","0.27","$6,000.00"
"DST","Pittsburgh Steelers","Steelers","PIT @ JAX","8.66","$5,600.00"
"WR","Donte Moncrief","Jaguars","PIT @ JAX","11.07","$9,800.00"
"WR","Rashad Greene Sr.","Jaguars","PIT @ JAX","1.6","$6,000.00"
"TE","David Grinnage","Jaguars","PIT @ JAX","3.02","$5,000.00"
"TE","James O'Shaughnessy","Jaguars","PIT @ JAX","4.1","$5,000.00"
"TE","Niles Paul","Jaguars","PIT @ JAX","3.25","$5,000.00"
"RB","Leonard Fournette","Jaguars","PIT @ JAX","13.63","$14,300.00"
"RB","David Williams","Jaguars","PIT @ JAX","0.1","$6,000.00"
